raceId,grid,position,year,date,time,circuitRef,driverRef,constructorRef,circuit_code,driver_code,constructor_code,pos_delta,grid_rolling,position_rolling,pos_delta_rolling
1135,,12.0,,,,zandvoort,albon,williams,39,14,208,,10.666666666666666,11.666666666666666,-1.0
1135,,8.0,,,,zandvoort,alonso,aston_martin,39,20,11,,8.333333333333334,9.0,-0.6666666666666666
1135,,15.0,,,,zandvoort,bottas,sauber,39,102,168,,14.0,15.333333333333334,-1.3333333333333333
1135,,13.0,,,,zandvoort,gasly,alpine,39,290,5,,8.333333333333334,14.333333333333334,-6.0
1135,,1.0,,,,zandvoort,hamilton,mercedes,39,343,136,,3.3333333333333335,1.6666666666666667,1.6666666666666667
1135,,18.0,,,,zandvoort,hulkenberg,haas,39,379,79,,11.0,12.333333333333334,-1.3333333333333333
1135,,14.0,,,,zandvoort,kevin_magnussen,haas,39,425,79,,16.333333333333332,13.666666666666666,2.6666666666666665
1135,,3.0,,,,zandvoort,leclerc,ferrari,39,461,69,,6.0,7.0,-1.0
1135,,4.0,,,,zandvoort,max_verstappen,red_bull,39,519,165,,6.0,3.6666666666666665,2.3333333333333335
1135,,5.0,,,,zandvoort,norris,mclaren,39,580,131,,2.6666666666666665,3.3333333333333335,-0.6666666666666666
1135,,9.0,,,,zandvoort,ocon,alpine,39,583,5,,15.333333333333334,14.333333333333334,1.0
1135,,7.0,,,,zandvoort,perez,red_bull,39,607,165,,6.0,10.333333333333334,-4.333333333333333
1135,,2.0,,,,zandvoort,piastri,mclaren,39,617,131,,4.0,2.3333333333333335,1.6666666666666667
1135,,10.0,,,,zandvoort,ricciardo,rb,39,670,162,,12.333333333333334,11.666666666666666,0.6666666666666666
1135,,20.0,,,,zandvoort,russell,mercedes,39,693,136,,8.666666666666666,9.666666666666666,-1.0
1135,,6.0,,,,zandvoort,sainz,ferrari,39,699,69,,6.0,5.666666666666667,0.3333333333333333
1135,,17.0,,,,zandvoort,sargeant,williams,39,705,208,,14.666666666666666,15.0,-0.3333333333333333
1135,,11.0,,,,zandvoort,stroll,aston_martin,39,756,11,,10.333333333333334,9.333333333333334,1.0
1135,,16.0,,,,zandvoort,tsunoda,rb,39,798,162,,14.333333333333334,11.666666666666666,2.6666666666666665
1135,,19.0,,,,zandvoort,zhou,sauber,39,855,168,,17.0,18.666666666666668,-1.6666666666666667
